iter	Logloss
0	0.6879997668
1	0.6830420346
2	0.6782054066
3	0.6746996162
4	0.6700742213
5	0.6663328422
6	0.6625071537
7	0.6584497579
8	0.6542985273
9	0.6510456288
10	0.6475197206
11	0.6445514191
12	0.6408979033
13	0.6376669523
14	0.634559405
15	0.6310630537
16	0.6287111472
17	0.6254906185
18	0.6227728456
19	0.6198582912
20	0.6175434048
21	0.6155550198
22	0.6128971986
23	0.610033092
24	0.6075813123
25	0.6051834452
26	0.602748127
27	0.6001465961
28	0.598061947
29	0.596288893
30	0.5941871468
31	0.5921845206
32	0.5902309946
33	0.5885515811
34	0.5868081968
35	0.5848913129
36	0.5829971504
37	0.5813264093
38	0.5796000092
39	0.5778471639
40	0.5762230801
41	0.5745039543
42	0.5730884975
43	0.5716438053
44	0.569695679
45	0.5682282995
46	0.5665750658
47	0.5649548526
48	0.5633822608
49	0.5619874005
50	0.5606104604
51	0.559449411
52	0.5579800946
53	0.5566292586
54	0.5554443912
55	0.554189181
56	0.5527543668
57	0.5514411347
58	0.5503402534
59	0.5490929487
60	0.5479986728
61	0.5470736779
62	0.5458795041
63	0.5447783161
64	0.5438042985
65	0.5427614906
66	0.5418362538
67	0.5406850612
68	0.5399677547
69	0.5390803098
70	0.5381544897
71	0.5370355705
72	0.5361750563
73	0.5350907554
74	0.5343880458
75	0.5337208788
76	0.5328847553
77	0.532067747
78	0.5313861247
79	0.5305059198
80	0.5298596197
81	0.5291141708
82	0.5283976144
83	0.5276872438
84	0.5269070844
85	0.5263555486
86	0.5254224375
87	0.5246833853
88	0.5240956188
89	0.523452463
90	0.5227386987
91	0.5221532826
92	0.5214902941
93	0.5206552861
94	0.5200662155
95	0.519521607
96	0.51888804
97	0.5183006268
98	0.5178127934
99	0.5171730714
100	0.5166860786
101	0.5162224693
102	0.5156345683
103	0.5150607036
104	0.5145436925
105	0.5139778091
106	0.5134576063
107	0.5129675504
108	0.5125852001
109	0.512138154
110	0.5115027037
111	0.5109070887
112	0.5103549854
113	0.5098616883
114	0.509505847
115	0.5090180278
116	0.5085884015
117	0.5081612759
118	0.5075359449
119	0.5070402092
120	0.5064539092
121	0.5059468341
122	0.5054973513
123	0.5050553307
124	0.5046734097
125	0.504278414
126	0.5039601283
127	0.5035830471
128	0.5032363705
129	0.5028665522
130	0.502420936
131	0.5021075989
132	0.501762858
133	0.5014285212
134	0.5009575376
135	0.5006943701
136	0.5003339005
137	0.4999497189
138	0.4995312735
139	0.4991613046
140	0.4987766419
141	0.4985097111
142	0.4981185236
143	0.4977789508
144	0.4973969254
145	0.4969927346
146	0.4966563279
147	0.4963465905
148	0.4961387069
149	0.4959190921
150	0.4956113025
151	0.4953714958
152	0.4950615504
153	0.4948058247
154	0.4945525998
155	0.4942293635
156	0.4939998963
157	0.4936590905
158	0.4933537953
159	0.4929411248
160	0.4925176448
161	0.4922708996
162	0.4919979885
163	0.4917341385
164	0.4913866891
165	0.4911719232
166	0.4909002476
167	0.490623048
168	0.4902562183
169	0.4900839466
170	0.4898832157
171	0.4895243199
172	0.489247153
173	0.4890308205
174	0.4888708587
175	0.4886078664
176	0.4883986258
177	0.4881955867
178	0.4879734718
179	0.4877651277
180	0.487513209
181	0.4872475496
182	0.4870455069
183	0.4867891412
184	0.4865664331
185	0.4863050127
186	0.4861304486
187	0.485919084
188	0.4856675368
189	0.4854616684
190	0.4852430703
191	0.4850191494
192	0.4847977922
193	0.4845692925
194	0.4842978353
195	0.4841112416
196	0.4839295271
197	0.4837537513
198	0.4835359775
199	0.4832924998
200	0.4830785326
201	0.4828099643
202	0.4826918566
203	0.4825204783
204	0.4822626421
205	0.482052025
206	0.4818426932
207	0.4816434318
208	0.4815035865
209	0.4812996678
210	0.481100491
211	0.4809036713
212	0.4807281252
213	0.4805553751
214	0.4803337543
215	0.4801972703
216	0.4800388313
217	0.479876898
218	0.4797163603
219	0.4795617721
220	0.4793660808
221	0.4791603881
222	0.4789818673
223	0.4788195614
224	0.4786790158
225	0.478513764
226	0.4783519974
227	0.4781580123
228	0.4780040327
229	0.4778708667
230	0.4777255964
231	0.4775930932
232	0.4774203924
233	0.4772303931
234	0.4770579348
235	0.4768856335
236	0.4767003802
237	0.4765309859
238	0.4764316159
239	0.4763188332
240	0.4761248849
241	0.4760315779
242	0.4759105666
243	0.4757929625
244	0.4756520024
245	0.4755228396
246	0.4753962154
247	0.4753127114
248	0.4751114551
249	0.4749686927
250	0.4747997606
251	0.4746955103
252	0.4745778414
253	0.4745101866
254	0.4743667143
255	0.4742370998
256	0.4741607333
257	0.474090317
258	0.4739978085
259	0.4738506036
260	0.4737648499
261	0.4736305355
262	0.4734713626
263	0.4733446711
264	0.4731808512
265	0.4730566444
266	0.4729592126
267	0.4727990968
268	0.4726821026
269	0.4725557243
270	0.4724589694
271	0.4723443104
272	0.4722129035
273	0.4720897309
274	0.4719498779
275	0.4718370792
276	0.4717542269
277	0.4715992489
278	0.4714910827
279	0.47137224
280	0.4712415916
281	0.4711747746
282	0.4710802076
283	0.4709965914
284	0.4708651237
285	0.4707479828
286	0.4706632843
287	0.4705419457
288	0.4704354301
289	0.4703479819
290	0.4702172054
291	0.4701608628
292	0.4700419466
293	0.4699208399
294	0.4698491816
295	0.4697205272
296	0.4695941366
297	0.4695062142
298	0.4694154675
299	0.4693316892
300	0.4691879826
301	0.4691234593
302	0.4690302664
303	0.4689330536
304	0.4687839452
305	0.4686679137
306	0.4686073889
307	0.468489691
308	0.4683952406
309	0.4682738183
310	0.4681582994
311	0.4680687601
312	0.467983558
313	0.467930415
314	0.4678181443
315	0.4677285116
316	0.4676319247
317	0.4675555466
318	0.4674525403
319	0.4673796057
320	0.4672850538
321	0.4672130308
322	0.4671255448
323	0.4669881521
324	0.4668961508
325	0.4668323687
326	0.4667765592
327	0.4666580091
328	0.4665264707
329	0.4664547565
330	0.4664051571
331	0.4663158707
332	0.4662467522
333	0.4661555753
334	0.466054021
335	0.4660080153
336	0.4659220635
337	0.4658319915
338	0.4657639487
339	0.46567266
340	0.4656228636
341	0.4655465535
342	0.4654551145
343	0.4653725028
344	0.4653066832
345	0.4651902799
346	0.4650991371
347	0.4649927711
348	0.4648996594
349	0.4648265283
350	0.4647762927
351	0.464714233
352	0.4646180637
353	0.4645193076
354	0.4644452015
355	0.4643934261
356	0.4643486349
357	0.4642374284
358	0.464186095
359	0.4640868017
360	0.4640107948
361	0.4639593249
362	0.4638859873
363	0.463807265
364	0.4637212313
365	0.4636385718
366	0.4635732743
367	0.4634887025
368	0.4633964327
369	0.4632903038
370	0.4632337773
371	0.4631800218
372	0.4631251729
373	0.4630187932
374	0.4629437213
375	0.4628751946
376	0.4628005402
377	0.462715375
378	0.4626536556
379	0.4625755647
380	0.4625069876
381	0.462442184
382	0.4623836395
383	0.4623008481
384	0.4622577674
385	0.4621433616
386	0.4620555626
387	0.4619776085
388	0.4619240897
389	0.4618232864
390	0.461737413
391	0.4616729496
392	0.4615752964
393	0.4615107581
394	0.4614538266
395	0.4613955058
396	0.4613416744
397	0.4612896914
398	0.4612387061
399	0.4611353541
400	0.4610414398
401	0.460994708
402	0.4609073671
403	0.460855191
404	0.4607920732
405	0.4607239057
406	0.4606464883
407	0.4605846687
408	0.4604877803
409	0.460412642
410	0.460292427
411	0.46023348
412	0.460170879
413	0.4601169652
414	0.4600738434
415	0.4600330704
416	0.4599261083
417	0.4598417132
418	0.4597737577
419	0.4597203259
420	0.459658303
421	0.4595831132
422	0.459514035
423	0.4594633089
424	0.459420268
425	0.4593314361
426	0.4592760782
427	0.4592153187
428	0.4591526815
429	0.4590670208
430	0.4590117255
431	0.458934954
432	0.458851803
433	0.4587968967
434	0.4587731729
435	0.4586669857
436	0.458603068
437	0.4585190314
438	0.4584685609
439	0.4584224287
440	0.4583480578
441	0.4583057181
442	0.4582561193
443	0.458226589
444	0.4581617503
445	0.4580956929
446	0.4580573387
447	0.4579983536
448	0.4579271587
449	0.4578799564
450	0.4578382068
451	0.4577820946
452	0.4577306188
453	0.4576812948
454	0.4576181454
455	0.4575589586
456	0.4574839683
457	0.4574396754
458	0.457365617
459	0.4573271189
460	0.4572586746
461	0.4572022363
462	0.4571564612
463	0.4570939647
464	0.4570432594
465	0.4569910902
466	0.4569563379
467	0.4569101312
468	0.4568484736
469	0.4567864043
470	0.4567561959
471	0.4566763383
472	0.4566116435
473	0.4565665956
474	0.4565041326
475	0.4564593918
476	0.4563988006
477	0.456363379
478	0.4563011046
479	0.4562388529
480	0.4561892745
481	0.456147561
482	0.4561185752
483	0.4560654585
484	0.4560139725
485	0.4559780934
486	0.4559263342
487	0.4558685968
488	0.4558196006
489	0.4557550636
490	0.4556926701
491	0.4556615072
492	0.4555944734
493	0.4555624624
494	0.4555106251
495	0.4554573154
496	0.4554010664
497	0.4553517577
498	0.4552836576
499	0.4552526477
500	0.4552202603
501	0.4551543804
502	0.4551101925
503	0.4550314334
504	0.4549854311
505	0.4549360025
506	0.4548789821
507	0.4548320194
508	0.4548059021
509	0.4547460273
510	0.4546869898
511	0.4546420242
512	0.4545993096
513	0.4545499329
514	0.4545032846
515	0.4544542848
516	0.4544180475
517	0.4543573769
518	0.4543197741
519	0.4542813762
520	0.4542449444
521	0.4541720693
522	0.4541193909
523	0.4540719063
524	0.4540177509
525	0.4539513383
526	0.4538866869
527	0.4538186087
528	0.4537769145
529	0.4537183316
530	0.4536704731
531	0.4535957891
532	0.4535362746
533	0.4534603212
534	0.4533738455
535	0.4533064888
536	0.4532552414
537	0.4532082338
538	0.4531582732
539	0.4531175052
540	0.4530629393
541	0.4530061476
542	0.4529642819
543	0.4529425248
544	0.4529088968
545	0.4528433117
546	0.4527849572
547	0.4527257094
548	0.4526737895
549	0.4526187245
550	0.4525603705
551	0.4525131704
552	0.4524783306
553	0.4524448462
554	0.4523950934
555	0.4523462631
556	0.4522747476
557	0.4522179444
558	0.4521689056
559	0.4521084104
560	0.4520608996
561	0.4519854601
562	0.4519516685
563	0.4518918838
564	0.4518313133
565	0.4517835877
566	0.4517359243
567	0.4517087957
568	0.451670993
569	0.4516209167
570	0.4515705462
571	0.4514823257
572	0.4514149931
573	0.4513789595
574	0.4513246336
575	0.4512629824
576	0.4512186636
577	0.4511585766
578	0.4510938659
579	0.4510541032
580	0.4510177663
581	0.4509884461
582	0.4509428972
583	0.4508957196
584	0.450829327
585	0.4508032269
586	0.4507569358
587	0.4507047008
588	0.4506550372
589	0.4506258
590	0.4505748933
591	0.4505112272
592	0.4504488491
593	0.4504050046
594	0.4503590363
595	0.4502918324
596	0.4502456831
597	0.4501901176
598	0.450136393
599	0.4500931015
600	0.4500356268
601	0.4499748617
602	0.4499349032
603	0.4498785749
604	0.449815746
605	0.4497612349
606	0.449698543
607	0.4496502598
608	0.4495925796
609	0.4495357432
610	0.4494976177
611	0.4494596097
612	0.4493955532
613	0.4493354201
614	0.4492867436
615	0.4492313766
616	0.4491696575
617	0.4490982347
618	0.4490379609
619	0.4489856284
620	0.4489347841
621	0.4488640743
622	0.4488118883
623	0.4487467101
624	0.4486785581
625	0.4486007341
626	0.4485349226
627	0.4484919917
628	0.4484473674
629	0.448393788
630	0.4483390399
631	0.4483034598
632	0.4482236907
633	0.4481726201
634	0.4481083009
635	0.4480418895
636	0.4479803915
637	0.4479017344
638	0.4478423815
639	0.4477813454
640	0.4477040205
641	0.4476607757
642	0.44760628
643	0.4475737908
644	0.4475322279
645	0.4474628409
646	0.447405146
647	0.4473472995
648	0.4472872376
649	0.4472266581
650	0.4471508653
651	0.4471000542
652	0.4470487117
653	0.4469759595
654	0.446925613
655	0.4468811408
656	0.4468399634
657	0.4467735837
658	0.4467356804
659	0.4466704947
660	0.4466074017
661	0.4465355993
662	0.4464962884
663	0.4464264453
664	0.4463620277
665	0.4463160047
666	0.4462671259
667	0.4462035339
668	0.4461345169
669	0.4460688129
670	0.4459893214
671	0.4459146158
672	0.4458554237
673	0.4457793281
674	0.4457275742
675	0.4456723214
676	0.4456344139
677	0.4455724946
678	0.4455187523
679	0.4454723042
